year,monday,total_moving_time,total_cycling_time,Run_distance,Ride_total_elevation_gain,Run_total_elevation_gain,total_moving_time_cum,total_cycling_time_cum,Run_distance_cum,Ride_total_elevation_gain_cum,Run_total_elevation_gain_cum
2018,10-01-2018,6.155833333333334,0.0,173.919057488638,0.0,132.6,60.140277777777776,2.366388888888889,1397.5015458909797,115.2,984.1
2018,10-08-2018,3.4175,0.0,34.07388287579729,0.0,28.5,63.55777777777778,2.366388888888889,1431.5754287667771,115.2,1012.6
2018,10-15-2018,4.021388888888889,0.0,111.68940220529436,0.0,67.6,67.57916666666667,2.366388888888889,1543.2648309720714,115.2,1080.2
2018,10-22-2018,5.0625,0.0,147.32119759223093,0.0,96.5,72.64166666666667,2.366388888888889,1690.5860285643025,115.2,1176.7
2018,10-29-2018,5.933888888888889,0.0,173.17169982495878,0.0,120.9,78.57555555555555,2.366388888888889,1863.7577283892613,115.2,1297.6
2018,11-05-2018,6.413333333333333,0.0,188.57468826929795,0.0,120.7,84.9888888888889,2.366388888888889,2052.332416658559,115.2,1418.3
2018,11-12-2018,7.076944444444445,0.0,207.51406880088308,0.0,134.7,92.06583333333333,2.366388888888889,2259.846485459442,115.2,1553.0
2018,11-19-2018,7.431111111111111,0.0,214.2696438851717,0.0,216.9,99.49694444444444,2.366388888888889,2474.116129344614,115.2,1769.9
2018,11-26-2018,7.3677777777777775,0.0,216.43975363145248,0.0,121.6,106.86472222222223,2.366388888888889,2690.555882976066,115.2,1891.5
2018,12-03-2018,6.416666666666667,0.0,192.7108420168124,0.0,165.8,113.28138888888888,2.366388888888889,2883.2667249928786,115.2,2057.3
2018,12-10-2018,8.020277777777778,0.0,220.920433961514,0.0,675.8,121.30166666666666,2.366388888888889,3104.1871589543925,115.2,2733.1
2018,12-17-2018,10.497777777777777,0.0,111.14509097724648,0.0,589.2,131.79944444444445,2.366388888888889,3215.332249931639,115.2,3322.3
2018,12-24-2018,7.571666666666667,3.048611111111112,123.65262909500736,214.9,356.9,139.3711111111111,5.415000000000001,3338.9848790266465,330.1,3679.2
2018,12-31-2018,8.07638888888889,2.565,140.3175225961317,148.8,179.3,147.4475,7.98,3479.3024016227782,478.9,3858.5
2019,01-07-2019,6.812222222222222,0.5841666666666666,169.32910718920056,0.0,7.8,6.812222222222222,0.5841666666666666,169.32910718920056,0.0,7.8
2019,01-14-2019,7.083333333333333,0.0,185.2929196741239,0.0,0.0,13.895555555555555,0.5841666666666666,354.62202686332444,0.0,7.8
2019,01-21-2019,8.315277777777778,0.0,201.3227834091924,0.0,0.0,22.210833333333333,0.5841666666666666,555.9448102725169,0.0,7.8
2019,01-28-2019,7.354166666666667,0.0,211.60027638702223,0.0,82.5,29.565,0.5841666666666666,767.545086659539,0.0,90.3
2019,02-04-2019,7.667222222222222,0.0,213.52310166902512,0.0,102.5,37.23222222222222,0.5841666666666666,981.0681883285642,0.0,192.8
2019,02-11-2019,9.213333333333333,0.0,245.09723013346544,0.0,144.8,46.44555555555556,0.5841666666666666,1226.1654184620297,0.0,337.6
2019,02-18-2019,8.633333333333335,0.0,247.1915032592092,0.0,182.9,55.07888888888889,0.5841666666666666,1473.356921721239,0.0,520.5
2019,02-25-2019,10.264722222222222,0.0,265.64365389003234,0.0,187.3,65.34361111111112,0.5841666666666666,1739.0005756112712,0.0,707.8000000000001
2019,03-04-2019,7.915555555555557,0.8594444444444445,27.93050502665015,0.0,21.2,73.25916666666667,1.4436111111111112,1766.9310806379212,0.0,729.0
2019,03-11-2019,6.3875,0.0,158.68282806472698,0.0,98.4,79.64666666666666,1.4436111111111112,1925.6139087026484,0.0,827.4000000000001
2019,03-18-2019,6.189444444444445,0.0,175.8761315670124,0.0,139.1,85.83611111111111,1.4436111111111112,2101.4900402696608,0.0,966.5
2019,03-25-2019,9.476944444444445,0.0,248.64014580097265,0.0,249.0,95.31305555555556,1.4436111111111112,2350.1301860706335,0.0,1215.5
2019,04-01-2019,9.876666666666665,0.0,268.2049745901048,0.0,195.2,105.18972222222223,1.4436111111111112,2618.3351606607384,0.0,1410.7
2019,04-08-2019,10.893888888888888,0.0,278.6851062797997,0.0,190.1,116.08361111111111,1.4436111111111112,2897.020266940538,0.0,1600.8
2019,04-15-2019,6.513888888888889,0.0,114.50024985035958,0.0,54.7,122.5975,1.4436111111111112,3011.5205167908975,0.0,1655.5
2019,04-22-2019,7.2925,0.0,206.2462517494861,0.0,110.4,129.89,1.4436111111111112,3217.7667685403835,0.0,1765.9
2019,04-29-2019,8.780555555555557,0.0,239.9423785557805,0.0,164.6,138.67055555555555,1.4436111111111112,3457.709147096164,0.0,1930.5
2019,05-06-2019,7.8052777777777775,0.0,219.67850736927892,0.0,158.2,146.47583333333333,1.4436111111111112,3677.387654465443,0.0,2088.7
2019,05-13-2019,8.443888888888889,0.0,238.36509916574067,0.0,138.0,154.91972222222222,1.4436111111111112,3915.7527536311836,0.0,2226.7
2019,05-20-2019,10.039166666666667,0.0,243.8779322102616,0.0,156.2,164.95888888888888,1.4436111111111112,4159.6306858414455,0.0,2382.9
2019,05-27-2019,7.775833333333334,0.0,204.06268711891653,0.0,118.5,172.73472222222222,1.4436111111111112,4363.693372960362,0.0,2501.4
2019,06-03-2019,8.816666666666666,0.0,231.9597587967278,0.0,124.3,181.55138888888888,1.4436111111111112,4595.65313175709,0.0,2625.7
2019,06-10-2019,9.037222222222223,0.0,239.8196537021158,0.0,124.3,190.5886111111111,1.4436111111111112,4835.472785459206,0.0,2750.0
2019,06-17-2019,8.73638888888889,0.0,249.93487262094715,0.0,166.3,199.325,1.4436111111111112,5085.407658080153,0.0,2916.3
2019,06-24-2019,8.8575,0.0,248.5274101795829,0.0,535.2,208.1825,1.4436111111111112,5333.935068259735,0.0,3451.5
2019,07-01-2019,10.463888888888889,1.4461111111111111,236.9668105091188,51.1,186.7,218.64638888888888,2.8897222222222223,5570.901878768855,51.1,3638.2000000000003
2019,07-08-2019,9.093055555555555,5.792777777777777,58.107160282001246,328.3,37.9,227.73944444444444,8.6825,5629.009039050856,379.40000000000003,3676.1
2019,07-15-2019,11.755555555555556,7.981111111111112,0.0,441.7,0.0,239.495,16.66361111111111,5629.009039050856,821.1,3676.1
2019,07-22-2019,13.89638888888889,13.865,0.0,839.1,0.0,253.39138888888888,30.52861111111111,5629.009039050856,1660.2,3676.1
2019,07-29-2019,11.392777777777777,11.392777777777777,0.0,461.4,0.0,264.7841666666667,41.921388888888885,5629.009039050856,2121.6,3676.1
2019,08-05-2019,11.665555555555557,11.665555555555557,0.0,507.0,0.0,276.44972222222225,53.58694444444444,5629.009039050856,2628.6,3676.1
2019,08-12-2019,12.790277777777778,12.790277777777778,0.0,377.0,0.0,289.24,66.37722222222223,5629.009039050856,3005.6,3676.1
2019,08-19-2019,13.09,13.09,0.0,635.0,0.0,302.33,79.46722222222222,5629.009039050856,3640.6,3676.1
2019,08-26-2019,13.176388888888887,13.176388888888887,0.0,514.0,0.0,315.50638888888886,92.64361111111111,5629.009039050856,4154.6,3676.1
2019,09-02-2019,19.361944444444443,6.612500000000001,0.0,508.8,0.0,334.86833333333334,99.25611111111111,5629.009039050856,4663.4,3676.1
2019,09-09-2019,10.679166666666667,6.177777777777778,22.166718003954376,177.0,34.6,345.5475,105.43388888888889,5651.17575705481,4840.4,3710.7000000000003
2019,09-16-2019,12.185833333333335,9.26388888888889,74.81547636423953,631.0,22.5,357.73333333333335,114.69777777777777,5725.991233419049,5471.4,3733.2000000000003
2019,09-23-2019,10.349444444444444,5.661944444444444,104.53140376364,231.0,74.89999999999999,368.0827777777778,120.35972222222222,5830.522637182689,5702.4,3808.1
2019,09-30-2019,13.955833333333334,13.955833333333334,0.0,898.0,0.0,382.0386111111111,134.31555555555556,5830.522637182689,6600.4,3808.1
2019,10-07-2019,10.391944444444444,10.151944444444446,7.074211207673963,446.0,9.5,392.43055555555554,144.4675,5837.596848390363,7046.4,3817.6
2019,10-14-2019,8.754722222222224,5.986111111111112,77.29994113435919,217.0,63.6,401.1852777777778,150.45361111111112,5914.896789524722,7263.4,3881.2000000000003
2019,10-21-2019,10.088888888888889,6.623611111111111,83.16463978922114,145.0,65.0,411.27416666666664,157.07722222222222,5998.061429313943,7408.4,3946.2000000000003
2019,10-28-2019,5.470833333333333,2.5761111111111115,83.38032566160865,0.0,74.8,416.745,159.65333333333334,6081.441754975553,7408.4,4021.0
2019,11-04-2019,6.4719444444444445,2.5697222222222225,116.46690543724269,0.0,73.7,423.21694444444444,162.22305555555556,6197.908660412795,7408.4,4094.7000000000003
2019,11-11-2019,6.171666666666667,3.7855555555555553,64.49394921964621,0.0,38.2,429.3886111111111,166.00861111111112,6262.402609632441,7408.4,4132.900000000001
